module_category,js_source_path,cpp_target_path,status,owner,last_synced,notes
reconciler,packages/react-reconciler/src/ReactFiberRootScheduler.js,packages/React/src/ReactReconciler/ReactFiberRootScheduler.cpp,in-progress,platform,2025-10-07,"Scheduler entry / act handle parity wired; awaiting continuation + profiler parity"
reconciler,packages/react-reconciler/src/ReactFiberWorkLoop.new.js,packages/React/src/ReactReconciler/ReactFiberWorkLoop.cpp,in-progress,platform,2025-10-07,"Core work loop translated; begin/complete work scaffolding (fragment/mode/profiler, cloneChildFibers in ReactFiberChild) ready; mount/reconcile child creation pending"
reconciler,packages/react-reconciler/src/ReactFiberWorkLoop.shared.js,packages/React/src/ReactReconciler/ReactFiberWorkLoopShared.cpp,not-started,platform,,"Template generated; awaiting translation"
reconciler,packages/react-reconciler/src/ReactFiberThrow.js,packages/React/src/ReactReconciler/ReactFiberThrow.cpp,in-progress,platform,2025-10-05,"Runtime references updated; error recovery logic pending"
reconciler,packages/react-reconciler/src/ReactFiberLane.js,packages/React/src/ReactReconciler/ReactFiberLane.cpp,complete,platform,2025-10-02,"Lane masks and helpers translated with tests"
reconciler,packages/react-reconciler/src/ReactFiberLane.js,packages/React/src/ReactReconciler/ReactFiberLane.h,complete,platform,2025-10-02,"Header mirrors JS constants"
reconciler,packages/react-reconciler/src/ReactFiberConcurrentUpdates.js,packages/React/src/ReactReconciler/ReactFiberConcurrentUpdates.cpp,in-progress,platform,2025-10-03,"Core enqueue/flush logic translated; hydration branches pending"
shared,packages/shared/ReactFeatureFlags.js,packages/React/src/shared/ReactFeatureFlags.cpp,complete,platform,2025-09-30,"Auto-generated from translate-react pipeline"
shared,packages/shared/ReactFeatureFlags.js,packages/React/src/shared/ReactFeatureFlags.h,complete,platform,2025-09-30,"Macro config for DEV/PROD"
shared,packages/shared/ReactWorkTags.js,packages/React/src/shared/ReactWorkTags.cpp,complete,platform,2025-09-28,"Enum parity verified by tests"
shared,packages/shared/ReactWorkTags.js,packages/React/src/shared/ReactWorkTags.h,complete,platform,2025-09-28,"Header parity"
shared,packages/shared/ReactFiberFlags.js,packages/React/src/shared/ReactFiberFlags.cpp,complete,platform,2025-09-28,"Flags mirrored; snapshot tests pass"
shared,packages/shared/ReactFiberFlags.js,packages/React/src/shared/ReactFiberFlags.h,complete,platform,2025-09-28,"Header parity"
react-dom,packages/react-dom/src/client/ReactDOMHostConfig.js,packages/React/src/ReactDOM/client/ReactDOMHostConfig.cpp,in-progress,dom-team,,"Host methods stubbed; diffing logic pending"
react-dom,packages/react-dom/src/client/ReactDOMHostConfig.js,packages/React/src/ReactDOM/client/ReactDOMHostConfig.h,in-progress,dom-team,,"Awaiting API finalization"
react-dom,packages/react-dom/src/client/ReactDOMComponent.js,packages/React/src/ReactDOM/client/ReactDOMComponent.cpp,in-progress,dom-team,,"Property diff partially translated"
react-dom,packages/react-dom/src/client/ReactDOMComponent.js,packages/React/src/ReactDOM/client/ReactDOMComponent.h,in-progress,dom-team,,"Struct definitions complete"
react-dom,packages/react-dom/src/client/ReactDOMDiffProperties.js,packages/React/src/ReactDOM/client/ReactDOMDiffProperties.cpp,in-progress,dom-team,,"Attribute diff skeleton present"
react-dom,packages/react-dom/src/client/ReactDOMRoot.js,packages/React/src/ReactDOM/client/ReactDOMRoot.cpp,not-started,dom-team,,"Pending after host config completion"
react,packages/react/src/ReactHooks.js,packages/React/src/ReactMain/ReactHooks.cpp,not-started,platform,,"Dispatcher not yet ported"
react,packages/react/src/ReactContext.js,packages/React/src/ReactMain/ReactContext.cpp,not-started,platform,,"Context translation queued"
scheduler,packages/scheduler/src/forks/Scheduler.js,packages/React/src/scheduler/Scheduler.cpp,not-started,platform,,"Awaiting Phase 5"
scheduler,packages/scheduler/src/forks/SchedulerPriorities.js,packages/React/src/scheduler/SchedulerPriorities.h,not-started,platform,,"To generate via pipeline"
experimental,packages/react-reconciler/src/ReactFlightClientHostConfig.js,packages/React/src/ReactFlight/ReactFlightClientHostConfig.cpp,not-started,platform,,"Flight client postponed"
experimental,packages/react-server/src/ReactServerStreamConfig.js,packages/React/src/ReactServer/ReactServerStreamConfig.cpp,not-started,platform,,"Server components phase"
